"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_createElasticConnection_success","tests.unit","Thu Oct 31 20:16:25 GMT 2024","passed","Thu Oct 31 20:16:25 GMT 2024","TestElasticsearchManager","test_es_manager","",""
"","3","test_get_citation_bible_pre1900_success","tests.unit","Thu Oct 31 20:16:23 GMT 2024","passed","Thu Oct 31 20:16:23 GMT 2024","TestCitationBlueprint","test_api_citation_blueprint","",""
"","1","test_addImage","tests.unit","Thu Oct 31 20:16:26 GMT 2024","passed","Thu Oct 31 20:16:26 GMT 2024","TestOPDSFacet","test_opds_feed","",""
"","0","test_validateURI_false","tests.unit","Thu Oct 31 20:16:27 GMT 2024","passed","Thu Oct 31 20:16:27 GMT 2024","TestMDPIParser","test_parser_mdpi","",""
"","1","test_runProcess_daily","tests.unit.processes.ingest","Thu Oct 31 20:16:22 GMT 2024","passed","Thu Oct 31 20:16:22 GMT 2024","TestHathiTrustProcess","test_hathi_trust_process","",""
"","2","test_importFromHathiTrustDataFile_standard","tests.unit.processes.ingest","Thu Oct 31 20:16:22 GMT 2024","passed","Thu Oct 31 20:16:22 GMT 2024","TestHathiTrustProcess","test_hathi_trust_process","",""
"","0","test_fetch_bib_items_success","tests.unit.processes.ingest","Thu Oct 31 20:16:22 GMT 2024","passed","Thu Oct 31 20:16:22 GMT 2024","TestNYPLProcess","test_nypl_process","",""
"","1","test_createSession_engine_exists","tests.unit","Thu Oct 31 20:16:25 GMT 2024","passed","Thu Oct 31 20:16:25 GMT 2024","TestDBManager","test_db_manager","",""
"","0","test_addWorkMeta","tests.unit","Thu Oct 31 20:16:24 GMT 2024","passed","Thu Oct 31 20:16:24 GMT 2024","TestAPIUtils","test_api_utils","",""
"","0","test_getFieldData_empty_string","tests.unit","Thu Oct 31 20:16:27 GMT 2024","passed","Thu Oct 31 20:16:27 GMT 2024","TestSQLMapping","test_sql_mapping","",""
"","1","test_fulfill_item_invalid_token","tests.unit","Thu Oct 31 20:16:24 GMT 2024","passed","Thu Oct 31 20:16:24 GMT 2024","TestSearchBlueprint","test_api_fulfill_blueprint","",""
"","2","test_runProcess_complete","tests.unit.processes","Thu Oct 31 20:16:23 GMT 2024","passed","Thu Oct 31 20:16:23 GMT 2024","TestClusterProcess","test_cluster_process","",""
