"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_downloadOAIRecords_complete","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestDOABProcess","test_doab_process","",""
"","0","test_addPublication","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_feed","",""
"","3","test_initializeDatabase_run","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestDBManager","test_db_manager","",""
"","1","test_checkIAReadability_error","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestCatalogMapping","test_oclcCatalog_mapping","",""
"","0","test_addFacets","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_feed","",""
"","1","test_fetchEditionCovers","tests.unit.processes.file","Wed Oct 30 13:12:06 GMT 2024","passed","Wed Oct 30 13:12:06 GMT 2024","TestCoverProcess","test_cover_process","",""
"","0","test_createMapping","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMETMapping","test_met_mapping","",""
"","3","test_get_counts_error","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestUtilsBlueprint","test_api_utils_blueprint","",""
"","0","test_initializer","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestElasticsearchManager","test_es_manager","",""
"","0","test_oclc_bib_mapping_no_first_name","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","","test_oclc_bib_mapping","",""
"","0","test_ReplaceWithPrivateLink","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestAPIUtils","test_api_utils","",""
"","0","test_validateURI_false","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMDPIParser","test_parser_mdpi","",""
"","1","test_applyFormatting","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestCoreMapping","test_core_mapping","",""
"","0","test_addImage_dict","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSPublication","test_opds_publication","",""
"","28","test_main","tests.unit","Wed Oct 30 13:12:10 GMT 2024","passed","Wed Oct 30 13:12:10 GMT 2024","TestMainProcess","test_main_process","",""
"","0","test_createMapping","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestISACMapping","test_isac_mapping","",""
"","1","test_createLinks","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMDPIParser","test_parser_mdpi","",""
"","1","test_generateSearchQuery_authority_search","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestElasticClient","test_api_es","",""
"","1","test_initEmptyRecord","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestCoreMapping","test_core_mapping","",""
"","0","test_getPubDateFloat_no_dates","tests.unit","Wed Oct 30 13:12:10 GMT 2024","passed","Wed Oct 30 13:12:10 GMT 2024","TestKMeansModel","test_kmeans_manager","",""
"","0","test_getFieldData_empty_dict","tests.unit","Wed Oct 30 13:12:12 GMT 2024","passed","Wed Oct 30 13:12:12 GMT 2024","TestSQLMapping","test_sql_mapping","",""
"","1","test_publicationDateCheck3","tests.unit","Wed Oct 30 13:12:12 GMT 2024","passed","Wed Oct 30 13:12:12 GMT 2024","TestSFRRecordManager","test_sfrRecord_manager","",""
"","2","test_generateQuery_complete","tests.unit.processes.file","Wed Oct 30 13:12:06 GMT 2024","passed","Wed Oct 30 13:12:06 GMT 2024","TestCoverProcess","test_cover_process","",""
"","0","test_pubProcessor_str","tests.unit","Wed Oct 30 13:12:10 GMT 2024","passed","Wed Oct 30 13:12:10 GMT 2024","TestKMeansModel","test_kmeans_manager","",""
"","1","test_applyFilters_language_and_other_filters","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestElasticClient","test_api_es","",""
"","1","test_deleteWorkRecords","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestElasticsearchManager","test_es_manager","",""
"","1","test_parseLink_non_external_url","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestCatalogMapping","test_oclcCatalog_mapping","",""
"","1","test_addComponent_new","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_feed","",""
"","4","test_collection_update_error","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestCollectionBlueprint","test_api_collection_blueprint","",""
"","1","test_queryMetAPI_success_head","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestMetProcess","test_met_process","",""
"","1","test_addPublications","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_group","",""
"","3","test_get_citation_one_author_work","tests.unit","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestCitationBlueprint","test_api_citation_blueprint","",""
"","1","test_getAPIResponse_error","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestHathiFetcher","test_fetcher_hathitrust","",""
"","0","test_generateEpubLinks_success","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestFrontierParser","test_parser_frontier","",""
"","1","test_parseInstance","tests.unit","Wed Oct 30 13:12:12 GMT 2024","passed","Wed Oct 30 13:12:12 GMT 2024","TestSFRRecordManager","test_sfrRecord_manager","",""
"","2","test_processGutenbergBatch","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestGutenbergProcess","test_gutenberg_process","",""
"","2","test_resizeCover_short","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestCoverManager","test_cover_manager","",""
"","1","test_parseMusePage_error","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMUSEManager","test_muse_manager","",""
"","0","test_generate_search_query_wo_identifier","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOCLCCatalogManager","test_oclcCatalog_manager","",""
"","3","test_importSingleOAIRecord_doab_error","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestDOABProcess","test_doab_process","",""
"","1","test_formatWorkOutput_single_work","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestAPIUtils","test_api_utils","",""
"","1","test_get_copyright_status_api_error","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestNYPLProcess","test_nypl_process","",""
"","1","test_loadMusePage_error","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMUSEManager","test_muse_manager","",""
"","0","test_repr","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_facet","",""
"","1","test_createFilterClausesAndAggregations_w_format","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestElasticClient","test_api_es","",""
"","2","test_processMetRecord_success","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestMetProcess","test_met_process","",""
"","1","test_storePDFManifest","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestLOCProcess","test_loc_process","",""
"","0","test_addField","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMetadata","test_opds_metadata","",""
"","2","test_load_env_file_invalid_yaml","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMainProcess","test_main_process","",""
"","2","test_runProcess_daily","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestDOABProcess","test_doab_process","",""
"","0","test_uriSetter","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestAbstractParser","test_parser_abstract","",""
"","1","test_applyFormatting_standard","tests.unit","Wed Oct 30 13:12:10 GMT 2024","passed","Wed Oct 30 13:12:10 GMT 2024","TestLOCMapping","test_loc_mapping","",""
"","1","test_windowedQuery_single","tests.unit.processes","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestCoreProcess","test_core_process","",""
"","0","test_initializer","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestCoreMapping","test_core_mapping","",""
"","0","test_generatePDFLinks","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestFrontierParser","test_parser_frontier","",""
"","1","test_fetchCoverFile","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestCoverManager","test_cover_manager","",""
"","2","test_generateManifest","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestAbstractParser","test_parser_abstract","",""
