Report_Name|NYPL DRB Book Usage by Title / Downloads
Report_ID|6fcead63-1e29-435d-9712-af7081bf1407
Report_Description|Downloads of your books from NYPL's Digital Research Books by title.
Publisher_Name|University of Michigan
Reporting_Period|2024-08-01 to 2024-08-31
Created|2024-10-01
Created_By|NYPL

Book Title|Book ID|Authors|ISBN(s)|OCLC Number(s)|Publication Year|Disciplines|Usage Type|Reporting Period Total|August 2024
On the current situation in the Ukraine|https://drb-qa.nypl.org/edition/6978634|Mazlakh, Serhiĭ M; Shakhrai, Vasyl'|0472085905, 9780472085903|90825|1970||Limited Access|11|11
Educating economists|https://drb-qa.nypl.org/edition/6978075|Colander, David; Brenner, Reuven |0472094866, 9780472094868, 047206486X, 9780472064861|24907931|1992|Economics, Education|Limited Access|8|8
Cosa, the making of a Roman town|https://drb-qa.nypl.org/edition/6977884|Brown, Frank Edward|0472041002, 9780472041008|5675403|1979|Classical Studies - Roman, History, Archaeology - Roman|Limited Access|24|24
Writing for business|https://drb-qa.nypl.org/edition/6977893|Bromage, Mary Cogan||1492237|1965|Composition, Business|Limited Access|6|6
Matthew Arnold and the classical tradition|https://drb-qa.nypl.org/edition/6978659|Anderson, Warren D||359269|1965|Literary Studies - 19th Century Literature, Literary Studies - British and Irish Literatures, History|Limited Access|8|8
A historical commentary on Thucydides : a companion to Rex Warner's Penguin translation|https://drb-qa.nypl.org/edition/6978193|Cartwright, David|0472106953, 9780472106950, 0472084194, 9780472084197|35651082|1997|History, Classical Studies, Archaeology|Limited Access|6|6
Intermediate reading practices|https://drb-qa.nypl.org/edition/6978204|Folse, Keith S|047208206X, 9780472082063|28302887|1993|English as a Second Language (ESL)|Limited Access|2|2
